Postal Code,Borough,Neighborhood,Latitude,Longitude
P3P,Greater Sudbury ,Hanmer,   46.726,-81.017
P3Y,Greater Sudbury ,Lively,   46.443,-81.127
P4N,Timmins Southeast,Timmins Southeast,   48.467,-81.333
P4P,Timmins North,Timmins North,   48.498,-81.345
P4R,Timmins West,Timmins West,   48.47,-81.4
P6C,Sault Ste. Marie North,Sault Ste. Marie North,   46.535,-84.373
P7C,Thunder Bay Central,Thunder Bay Central,   48.352,-89.465
P7E,Thunder Bay South Central,Thunder Bay South Central,   48.368,-89.284
P7G,Thunder Bay North,Thunder Bay North,   48.4,-89.317
P7J,Thunder Bay South,Thunder Bay South,   48.283,-89.367
P7K,Thunder Bay West,Thunder Bay West,   48.373,-89.348
P7L,Neebing,Neebing,   48.167,-89.417
N8V,Tecumseh ,YQG,   42.277,-82.945
N8W,Windsor ,"South Walkerville , West Fontainbleu , Walker Farm , Devonshire",   42.284,-82.977
N8X,Windsor South Central ,"West Walkerville , Remington Park",   42.293,-83.019
N8Y,Windsor East ,East Walkerville,   42.318,-82.993
N9C,Windsor ,"Sandwich , Ojibway , West Malden",   42.277,-83.079
N9E,Windsor South ,East Malden,   42.265,-83.031
N9G,Windsor ,Roseland,   42.248,-82.995
N9H,La Salle East,La Salle East,   42.232,-83.028
N9J,La Salle West,La Salle West,   42.219,-83.08
N9K,Tecumseh Central,Tecumseh Central,   42.298,-82.87
P0A,Nipissing Central ,Burk's Falls,   45.588,-79.355
P0C,Parry Sound Mid-Shore ,Bala,   45.128,-79.786
P0E,Parry Sound South Shore ,Kilworthy,   44.861,-79.507
P0G,Parry Sound North Shore ,Nobel,   45.672,-80.369
P0H,Nipissing North ,Callander,   46.311,-79.362
P0J,Timiskaming South ,Temiskaming Shores,   47.578,-80.204
P0K,Timiskaming North ,Iroquois Falls A,   48.523,-80.308
P0L,Cochrane Region ,Hearst,   51.97,-83.537
P0M,"Algoma, Sudbury District and Greater Sudbury ",Chelmsford,   47.653,-82.475
P0N,Timmins Region ,South Porcupine,   48.603,-81.011
P0P,Manitoulin ,Little Current,   45.757,-82.215
P0R,Algoma Southwest ,Blind River,   46.598,-83.038
P0S,Lake Superior East Shore ,Wawa,   48.048,-84.673
P0T,Lake Superior North Shore ,Marathon,   49.292,-88.756
P0V,Northwestern Ontario ,Red Lake,   52.965,-90.151
P0W,Rainy River Region ,Emo,   48.875,-93.752
P0X,Kenora Region ,Keewatin,   50.929,-93.309
P0Y,Lake of the Woods East Shore ,Ingolf,   49.76,-95.1
P1C,North Bay North,North Bay North,   46.34,-79.422
L4C,Richmond Hill Southwest,Richmond Hill Southwest,   43.867,-79.441
L4E,Richmond Hill North,Richmond Hill North,   43.939,-79.435
L4G,Aurora,Aurora,   44,-79.466
L4H,Woodbridge North,Woodbridge North,   43.843,-79.564
L4J,Thornhill West,Thornhill West,   43.816,-79.453
L4K,Concord,Concord,   43.8,-79.483
L4L,Woodbridge South,Woodbridge South,   43.806,-79.6
L9C,Hamilton ,"Southam , Bonnington , Yeoville , Kernighan , Gourley , Rolston , Buchanan , Mohawk , Westcliffe , Gilbert , Gilkson , Gurnett , Fessenden , Mountview",   43.231,-79.905
L9E,Milton,Milton,   43.517,-79.883
L9G,Ancaster West,Ancaster West,   43.184,-79.99
L9J,Barrie,Barrie,   44.319,-79.676
L9K,Ancaster East,Ancaster East,   43.225,-79.943
L9L,Port Perry,Port Perry,   44.107,-78.944
L9N,Holland Landing,Holland Landing,   44.115,-79.501
L9S,Innisfil,Innisfil,   44.3,-79.65
L9V,Orangeville North,Orangeville North,   43.96,-80.108
L9W,Orangeville South,Orangeville South,   43.97,-80.016
L9X,Springwater,Springwater,   44.495,-79.85
L9X,Barrie,Barrie,   44.4,-79.666
L9X,Midhurst,Midhurst,   44.444,-79.732
L9X,Minesing,Minesing,   44.433,-79.833
L9Z,Wasaga Beach,Wasaga Beach,   44.517,-80.016
L8G,Hamilton ,"Greenford , North Gershome , West Stoney Creek",   43.216,-79.742
L8H,Hamilton ,"West Kentley , McQuesten , Parkview , Hamilton Beach , East Industrial Sector , Normanhurst , Homeside , East Crown Point",   43.26,-79.792
L8J,Hamilton ,"East Albion Falls , South Stoney Creek",   43.184,-79.721
L8K,Hamilton ,"East Delta , Bartonville , Glenview , Rosedale , Lower King's Forest , Red Hill , Corman , Vincent , South Gershome",   43.221,-79.799
L8L,Hamilton ,"West Industrial Sector , West Crown Point , North Stipley , North Gibson , Landsdale , Keith , North End , Beasley",   43.278,-79.834
L8M,Hamilton ,"West Delta , Blakeley , South Stipley , South Gibson , St. Clair",   43.244,-79.836
L8N,Hamilton ,"Stinson , Corktown",   43.402,-80.017
L8P,Hamilton ,"Durand , Kirkendall , Chedoke Park",   43.251,-79.892
L8R,Hamilton ,"Central , Strathcona , South Dundurn",   43.273,-79.879
L8S,Hamilton ,"Westdale , Cootes Paradise , Ainslie Wood",   43.261,-79.916
L8T,Hamilton ,"Sherwood , Huntington , Upper King's Forest , Lisgar , Berrisfield , Hampton Heights , Sunninghill",   43.22,-79.829
L8V,Hamilton ,"Raleigh , Macassa , Lawfield , Thorner , Burkholme , Eastmount",   43.227,-79.85
L8W,Hamilton ,"West Albion Falls , Hannon , Rymal , Trenholme , Quinndale , Templemead , Broughton , Eleanor , Randall , Rushdale , Butler , East Chappel",   43.196,-79.846
L9B,Hamilton ,"Barnstown , West Chappel , Allison , Ryckmans , Mewburn , Sheldon , Falkirk , Carpenter , Kennedy , Southwest Outskirts",   43.206,-79.9
L6J,Oakville Northeast,Oakville Northeast,   43.476,-79.659
L6K,Oakville East,Oakville East,   43.44,-79.688
L6L,Oakville South,Oakville South,   43.403,-79.719
L6M,Oakville West,Oakville West,   43.446,-79.759
L6P,Brampton North,Brampton North,   43.794,-79.702
L6R,Brampton Northwest,Brampton Northwest,   43.759,-79.761
L6S,Brampton North Central,Brampton North Central,   43.738,-79.726
L6T,Brampton East,Brampton East,   43.72,-79.685
L6V,Brampton Central,Brampton Central,   43.706,-79.763
L6W,Brampton Southeast,Brampton Southeast,   43.68,-79.727
L6X,Brampton Southwest,Brampton Southwest,   43.666,-79.805
L6Y,Brampton South,Brampton South,   43.625,-79.788
L6Z,Brampton West Central,Brampton West Central,   43.733,-79.795
L2G,Niagara Falls Southeast,Niagara Falls Southeast,   43.07,-79.082
L2H,Niagara Falls West,Niagara Falls West,   43.101,-79.138
L2J,Niagara Falls North,Niagara Falls North,   43.13,-79.103
L2M,St. Catharines Northeast,St. Catharines Northeast,   43.196,-79.216
L2N,St. Catharines Northwest,St. Catharines Northwest,   43.192,-79.256
L2P,St. Catharines East,St. Catharines East,   43.153,-79.209
L2R,St. Catharines Central,St. Catharines Central,   43.142,-79.297
L2S,St. Catharines Southwest,St. Catharines Southwest,   43.145,-79.263
L2T,St. Catharines South,St. Catharines South,   43.131,-79.232
L2V,St. Catharines Southeast,St. Catharines Southeast,   43.114,-79.203
L2W,St. Catharines West,St. Catharines West,   43.169,-79.279
L7B,King City,King City,   43.929,-79.527
L7C,Caledon,Caledon,   43.875,-79.856
